Pregunta,Respuesta1,Puntos1,Respuesta2,Puntos2,Respuesta3,Puntos3,Respuesta4,Puntos4,Respuesta5,Puntos5,Respuesta6,Puntos6
¿Qué cosas encuentras en la iglesia?,Biblia,35,Cruz,28,Altar,15,Púlpito,12,Bancas,10,,
Menciona un libro de la Bíblia popular,Génesis,30,Salmos,23,Hechos,19,Apocalípsis,14,Romanos,9,Éxodo,5
Cosas que debe hacer un cristiano todos los dí­as,Orar,35,Leer la Biblia,30,Agradecer,15,Amar al prójimo,13,Evitar el pecado,7,,
Nombres de personajes bíblicos populares?,Moisés,30,David,25,Abraham,20,José,15,Daniel,10,,
Menciona el fruto del Espíritu,Amor,34,Gozo,29,Paz,19,Fe,10,Paciencia,5,Benignidad,3
Cosas que haces en la iglesia,Adorar,35,Orar,30,Aprender,20,Servir,10,Enseñar,5,,
¿Qué contiene la Biblia?,Palabra de Dios,45,Enseñánzas,25,Historia,15,Promesas,15,,,,
Milagros de Jesús más conocido comunmente,Panes/Peces,30,Curación de enfermos,25,Caminar en el agua,21,Resurrección,18,Agua en vino,4,Calmar la tempestad,2
Nombra celebraciones cristianas,Navidad,40,Domingo de resurrección,35,Santa cena/Cena del Señor,15,Día del Señor (domingo),10,,,,
¿Qué hacen los discípulos?,Predicar,35,Servir,25,Enseñar,20,Orar,15,Evangelizar,5,,
Menciona instrumentos usados comunmente en la iglesia,Piano,30,Violín,25,Clarinete,20,Voz,15,Trompeta,10,,
¿Qué le pides a Dios comunmente?,Salud,35,Bendiciones,28,Sabiduría,20,Perdón,12,Paz,5,,
Excusas para no ir a la iglesia,No tengo tiempo,36,Estoy cansado,24,Tarea,18,Enfermedad,12,Viaje,6,Tráfico,4
Menciona versículos comunes para evangelizar,Juan 3:16,37,Romanos 3:10,28,Mateo 28:19,16,Hechos 1:8,8,1 Corintios 15:3,6,Marcos 16:15,5
Palabra más utilizada en la Biblia,Dios,43,Amen,36,Señor,13,Jesús,5,Jehová,2,Cristo,1
Nombre Bíblico de mujer que se usa actualmente,Maria,31,Eva,25,Sara,20,Esther,18,Devora,4,Raquel,2
Frace más usada por los pastores,Ya mero terminamos,24,Dios les bendiga,23,Aquí no pasa,19,No se me duerma,18,Ánimo,10,Amén,6
Profetas más conocidos,Samuel,38,Elías,30,Eliseo,14,Isaías,8,Jeremías,6,Daniel,4
¿Qué animal ocupó más espacio en el arca de Noé?,Elefante,33,Jirafa,23,Mamut,16,Alce,16,Oso,7,Hipopótamo,5
¿Qué parejas son más conocidas en la biblia?,Adan y eva,46,Abraham y Sara,32,Isaac y Rebeca,8,Jacob y Raquel,8,Aías y Safira,4,David y Betsabé,2
¿Ciudad más conocida de la biblia?,Jerusalén,31,Jericó,25,Ninive,18,Sodoma y Gomorra,14,Damasco,9,Bet-hel,3
Libro más leído de la Biblia,Salmos,38,Génesis,32,Apocalípsis,21,Mateo,5,Proverbios,3,Juan,1
¿Personaje Bíblico más conocido?,Jesús,61,Adan,21,María,8,Abraham,5,Moisés,3,Eva,2
"Menciona un ""Yo soy"" que dijo el Señor Jesús","El camino, la verdad y la vida",35,El buen pastor,19,La luz del mundo,17,La resurrección y la vida,15,La puerta,9,La vid verdadera,5
¿Qué montes son los más conocidos de la Bíblia?,Sinaí,32,Calvario,30,Horeb,20,Moriah,10,Monte de los Olivos,5,Carmelo,3
Reyes más famosos de Israel,David,34,Saúl,31,Salomón,25,Josafat,5,Ezequías,3,Acab,2
Algunos de los enemigos más comunes del pueblo de Israel,Filisteos,36,Amalec,29,Jebuseos,18,Amorrheos,9,Moabitas,5,Edomitas,3
Menciona uno de los Salmos más populares,Salmo 23,29,Salmo 91,28,Salmo 100,18,Salmo 105,10,Salmo 117,10,Salmo 1,5
Oficio más popular en la Bíblia,Pescador,28,Carpintero,24,Cobrador de impuestos,19,Soldado,14,Copero,10,Pastor,5
Plagas de Egipto más recordadas,Muerte de los primogénitos,34,Ranas o sapos,25,Agua se convierte en sangre,17,Moscas,12,Tinieblas,8,Langostas,4
Mandamiento más conocido,Amarás al Señor sobre todo,36,Día de reposo,24,No matar,16,Honra a tu padre y a tu madre,12,No codiciar,8,No robarás,4
Animales más significativos en la Bíblia,Cordero,34,Serpiente,29,León,19,Caballo,10,Hormiga,5,Paloma,3
Parábola más conocida,El hijo pródigo,34,La oveja perdida,25,Las 10 virgenes,17,El sembrador,12,Los talentos,8,El buen samaritano,4
Nombra algo que al salir de la casa para ir a la iglesia se te olvida,Celular,29,Biblia,25,Llaves,22,Dinero,13,Pluma/Lapicero,7,Lentes,4
¿Cuáles eran las características mencionadas por Dios acerca de Job?,Perfecto,43,Recto,33,Temeroso de Dios,14,Apartado del mal,5,Paciente,3,Justo,2
Menciona un apostol de Jesús,Pedro,41,Juan,28,Mateo,18,Judas,6,Santiago,4,Andrés,3
Cosas que llevas a un campamento o retiro,Ropa,42,Tienda de campaña,29,Biblia,19,Cepillo de dientes,5,Comida,3,Linterna,2
Nombre Bíblico de hombre que se usa actualmente,José,27,Jesús,20,David,14,Pablo,11,Juan,19,Daniel,9
"Completa la frase ""Dios es...""",Amor,33,Poderoso,27,Infinito,13,Grande,11,Fiel,9,Justo,7
Menciona un libro de los profetas menores,Jonas,36,Oseas,26,Miquias,16,Malaquías,12,Joel,6,Amós,4
